id,model,property_retencion_islr_payable,property_retencion_islr_receivable
str,str,search,search
l10n_ve_withholding_islr.islr_wh_concept_hprof_no_mercantiles,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_pago_contratistas,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_no_apply_withholding,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_cualquie_cosa_menos_sueldos,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_pagos_transportes_y_fletes,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_pagos_de_servicios_publicitarios,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_pagos_administradores_en_el_pais,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_sueldos_y_salarios,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_hprof_mancomunados_no_mercantiles,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_hprof_jinetes_entrenadores_preparadores,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_hprof_sin_relacion_otras_instituciones,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_comisiones_venta_inmuebles,islr.wh.concept,,
l10n_ve_withholding_islr.islr_rh_concept_interes_capital_invertido_en_renta,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_int_prestamos_exterior,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_intereses_por_personas_juridicas_o_comunidades,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_exhibicion_de_peliculas,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_regalias,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_asistencia_tecnica,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_servicios_tecnologicos,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_primas_seguros_reaseguros,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_juegos_y_apuestas,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_loterias_e_hipodromos,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_pagos_propietarios_animales_carrera_premios,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_pago_arrendadores_en_el_pais,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_canon_arrendamiento_bienes_en_el_pais,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_tarjetas_de_credito_cualquier_concepto,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_tarjetas_de_credito_gasolina,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_seguros_prestacion,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_pago_seguros_reparacion_damage,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_pagos_seguros_a_clinicas,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_fondos_de_comercio_en_el_pais,islr.wh.concept,,
l10n_ve_withholding_islr.islr_wh_concept_pub_emisoras,islr.wh.concept,,

